,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
112,92,1533776963,100,-7.93,-14.42,76.83,19.48
113,12,1533776962,77,73.51,80.55,50.73,19.37
114,40,1533772800,78,31.42,31.81,80.6,8.05
115,92,1533776963,100,-7.93,-14.42,76.83,19.48
116,32,1533776974,28,29.03,21.55,91.0,11.1
117,88,1533776877,95,-33.69,-53.46,53.56,11.54
118,92,1533776963,100,-7.93,-14.42,76.83,19.48
119,68,1533776974,45,47.32,47.38,75.25,11.77
120,12,1533776962,77,73.51,80.55,50.73,19.37
121,20,1533772200,58,36.49,36.19,84.2,9.17
122,92,1533776963,100,-7.93,-14.42,76.83,19.48
123,32,1533776975,40,45.92,47.05,79.48,11.88
124,75,1533772800,88,-22.97,-42.02,69.8,12.75
125,75,1533772800,88,-22.97,-42.02,69.8,12.75
126,92,1533776975,98,66.56,67.8,48.34,13.33
127,0,1533776969,92,13.32,12.61,71.74,8.3
128,32,1533776974,28,29.03,21.55,91.0,11.1
129,75,1533772800,60,-54.81,-68.31,41.0,17.22
130,0,1533776975,78,60.91,61.52,50.19,5.17
131,0,1533776972,86,65.4,64.7,47.76,16.58
132,76,1533776976,94,67.55,63.78,45.78,10.65
133,76,1533776976,50,47.24,47.04,75.84,12.33
134,92,1533776976,100,56.0,55.92,59.41,1.7
135,48,1533776704,79,63.19,64.42,53.11,6.85
136,92,1533776963,100,-7.93,-14.42,76.83,19.48
137,75,1533772800,60,-54.81,-68.31,41.0,17.22
138,75,1533772800,60,-54.81,-68.31,41.0,17.22
139,12,1533776962,77,73.51,80.55,50.73,19.37
140,12,1533776962,77,73.51,80.55,50.73,19.37
141,92,1533776963,100,-7.93,-14.42,76.83,19.48
142,8,1533776964,89,14.12,15.31,74.22,8.63
143,0,1533772800,69,35.36,35.93,78.8,5.82
144,92,1533776977,97,58.37,58.33,54.24,11.65
145,76,1533776967,99,-17.73,-39.27,76.33,10.76
146,75,1533772800,60,-54.81,-68.31,41.0,17.22
147,92,1533776964,99,-21.64,-41.05,73.36,13.67
148,75,1533772800,88,-22.97,-42.02,69.8,12.75
149,75,1533772800,60,-54.81,-68.31,41.0,17.22
150,75,1533772800,60,-54.81,-68.31,41.0,17.22
151,0,1533776969,92,13.32,12.61,71.74,8.3
152,0,1533776978,73,38.2,37.19,59.46,11.65
153,92,1533776978,99,11.75,11.96,70.03,0.13
154,75,1533772800,60,-54.81,-68.31,41.0,17.22
155,24,1533776972,96,-38.55,-58.74,44.07,18.48
156,0,1533776962,45,28.42,30.79,77.28,10.87
157,75,1533772800,60,-54.81,-68.31,41.0,17.22
158,75,1533772800,60,-54.81,-68.31,41.0,17.22
159,92,1533776963,100,66.83,70.83,48.21,23.51
160,90,1533774600,94,41.67,41.69,71.6,6.93
161,40,1533776400,78,-3.71,-38.6,78.8,9.17
162,64,1533776979,96,8.5,8.51,69.99,4.27
163,92,1533776963,100,-7.93,-14.42,76.83,19.48
164,32,1533776975,40,45.92,47.05,79.48,11.88
165,75,1533772800,60,-54.81,-68.31,41.0,17.22
166,75,1533772800,60,-54.81,-68.31,41.0,17.22
167,75,1533772800,60,-54.81,-68.31,41.0,17.22
168,75,1533772800,60,-54.81,-68.31,41.0,17.22
169,32,1533776974,28,29.03,21.55,91.0,11.1
170,75,1533772800,60,-54.81,-68.31,41.0,17.22
171,92,1533776963,100,-7.93,-14.42,76.83,19.48
172,75,1533772800,60,-54.81,-68.31,41.0,17.22
173,12,1533776962,77,73.51,80.55,50.73,19.37
174,75,1533772800,60,-54.81,-68.31,41.0,17.22
175,92,1533776963,100,66.83,70.83,48.21,23.51
176,92,1533776963,100,66.83,70.83,48.21,23.51
177,92,1533776963,100,-7.93,-14.42,76.83,19.48
178,40,1533776400,78,-3.71,-38.6,78.8,9.17
179,88,1533776877,95,-33.69,-53.46,53.56,11.54
180,92,1533776963,100,-7.93,-14.42,76.83,19.48
181,8,1533776962,67,-46.43,-67.52,45.69,14.12
182,75,1533772800,60,-54.81,-68.31,41.0,17.22
183,12,1533776962,77,73.51,80.55,50.73,19.37
184,0,1533776961,80,51.2,49.73,59.91,9.86
185,92,1533776963,100,-7.93,-14.42,76.83,19.48
186,20,1533776981,96,5.26,-0.76,72.73,8.19
187,40,1533776400,78,-3.71,-38.6,78.8,9.17
188,75,1533772800,88,43.56,43.59,62.6,11.18
189,0,1533776972,86,65.4,64.7,47.76,16.58
190,88,1533776877,95,-33.69,-53.46,53.56,11.54
191,12,1533776962,77,73.51,80.55,50.73,19.37
192,80,1533776981,96,5.52,5.75,73.09,5.5
